"heading","guestCapacity","startingPrice","address","city","state","phoneNumber","emailAddresses","websiteLink","facebookLink","instagramLink","pinterestLink","knotPageLink","category","location"
"Ravel Events at The Ravel Hotel","300+","n/a","N/A","N/A","N/A","+1(718) 289-6118","location547@knotleads.tripleseat.com","https://www.ravelweddings.com/","https://www.facebook.com/Ravelevents","http://www.instagram.com/@ravelevents","http://www.pinterest.com/@Ravelevents","https://www.theknot.com/marketplace/ravel-events-at-the-ravel-hotel-long-island-city-ny-662445","wedding-reception-venues","New York, NY"
"Sixty Pine Street","Up to 300","n/a","N/A","N/A","N/A","+1(212) 809-5508,2","info@masterpiececaterers.com","http://www.masterpiececaterers.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/Masterpiece-Caterers-151488755034904/","http://www.instagram.com/MasterpieceCaterers","N/A","https://www.theknot.com/marketplace/sixty-pine-street-new-york-ny-563583","wedding-reception-venues","New York, NY"
"Papillon Bistro & Bar","Up to 150","n/a","N/A","N/A","N/A","+1(917) 562-0004","marisa@cdg.nyc","https://www.papillonbistro.com/private-events","https://www.facebook.com/PapillonBistroBar","http://www.instagram.com/papillonbistronyc","N/A","https://www.theknot.com/marketplace/papillon-bistro-and-bar-new-york-ny-2084712","wedding-reception-venues","New York, NY"
"Westbury Manor","Up to 300","n/a","N/A","N/A","N/A","+1(516) 333-7117","Jscotto@westburymanor.com","https://www.westburymanor.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","http://www.facebook.com/westburymanorli","http://www.instagram.com/westburymanor","http://www.pinterest.com/westburymanor","https://www.theknot.com/marketplace/westbury-manor-westbury-ny-865656","wedding-reception-venues","New York, NY"
"Prince George Ballroom","Up to 250","n/a","N/A","N/A","N/A","+1(212) 471-0870","eventspaces@breakingground.org","http://www.princegeorgeballroom.org?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","http://www.facebook.com/princegeorgeballroom","http://www.instagram.com/princegeorgeballroom","http://www.pinterest.com/princegeorgeballroom","https://www.theknot.com/marketplace/prince-george-ballroom-new-york-ny-605739","wedding-reception-venues","New York, NY"
"Midtown Loft and Terrace","Up to 200","n/a","N/A","N/A","N/A","+1(212) 537-0117","sales@midtownloft.net","http://www.midtownloft.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/midtownloftandterrace/?fref=ts","http://www.instagram.com/midtownloft","N/A","https://www.theknot.com/marketplace/midtown-loft-and-terrace-new-york-ny-552853","wedding-reception-venues","New York, NY"
"Manhattan by Sail","Up to 150","n/a","N/A","N/A","N/A","+1(760) 994-5372","marcusreyes@manhattanbysail.com","https://www.manhattanbysail.com/private-sailing-charters/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://http://www.facebook.com/manhattanbysail","http://www.instagram.com/manhattanbysail","N/A","https://www.theknot.com/marketplace/manhattan-by-sail-new-york-ny-2087590","wedding-reception-venues","New York, NY"
"City Cruises - New York","300+","n/a","N/A","N/A","N/A","+1(646) 576-8400","NewYorkWeddingTeam@CityExperiences.com","https://www.cityexperiences.com/new-york/city-cruises/weddings/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/BateauxNewYork/","http://www.instagram.com/ecnewyork","N/A","https://www.theknot.com/marketplace/city-cruises-new-york-new-york-ny-491633","wedding-reception-venues","New York, NY"
"The Box House Hotel","Up to 300","n/a","N/A","N/A","N/A","+1(718) 383-3800","location6705@knotleads.tripleseat.com","http://www.theboxhousehotelevents.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","N/A","http://www.instagram.com/boxhouseevents","http://www.pinterest.com/boxhouseevents","https://www.theknot.com/marketplace/the-box-house-hotel-brooklyn-ny-2001041","wedding-reception-venues","New York, NY"
"Whitby Castle at Rye Golf Club","Up to 250","n/a","N/A","N/A","N/A","+1(914) 777-2053,3153","nviera@lessings.com","https://www.lessings.com/corporate/weddings/venue/whitby-castle?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/whitbycastle","http://www.instagram.com/lessingsweddings","http://www.pinterest.com/whitbycastle","https://www.theknot.com/marketplace/whitby-castle-at-rye-golf-club-rye-ny-600634","wedding-reception-venues","New York, NY"
"Crossed Keys Estate","Up to 300","n/a","N/A","N/A","N/A","+1(973) 786-6661","askus@crossedkeys.com","http://crossedkeysestate.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","N/A","http://www.instagram.com/crossedkeysestate","http://www.pinterest.com/ckestate","https://www.theknot.com/marketplace/crossed-keys-estate-andover-nj-818702","wedding-reception-venues","New York, NY"
"Renault Winery","300+","n/a","N/A","N/A","N/A","+1(609) 965-2111","renaultweddingleads@renaultwinery.com","http://www.renaultwinery.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/renaultwinery/?epa=SEARCH_BOX","http://www.instagram.com/renaultwineryresort","http://www.pinterest.com/renaultwinery","https://www.theknot.com/marketplace/renault-winery-egg-harbor-city-nj-2018126","wedding-reception-venues","New York, NY"
"Bear Brook Valley","300+","n/a","N/A","N/A","N/A","+1(973) 241-1001","info@bearbrookvalley.com","http://www.bearbrookvalley.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/bearbrookvalley/?ref=br_rs","http://www.instagram.com/bearbrookvalley","http://www.pinterest.com/bearbrookvalley","https://www.theknot.com/marketplace/bear-brook-valley-newton-nj-981245","wedding-reception-venues","New York, NY"
"Houston Hall","Up to 200","n/a","N/A","N/A","N/A","+1(212) 675-9328","location19762@knotleads.tripleseat.com","http://www.houstonhallny.com/wedding/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","http://Www.beerhallweddings.com","http://www.instagram.com/Beerhallweddingnyc","N/A","https://www.theknot.com/marketplace/houston-hall-new-york-ny-566947","wedding-reception-venues","New York, NY"
"Glen Island Harbour Club","300+","n/a","N/A","N/A","N/A","+1(914) 636-6500","Rocco@gi-hc.com","http://www.GI-HC.com","N/A","N/A","N/A","https://www.theknot.com/marketplace/glen-island-harbour-club-new-rochelle-ny-372028","wedding-reception-venues","New York, NY"
"The Grandview","300+","n/a","N/A","N/A","N/A","+1(845) 486-4700","sales@grandviewevents.com","http://www.grandviewevents.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/grandviewelegantevents","http://www.instagram.com/the_grandview","http://www.pinterest.com/TheGrandview","https://www.theknot.com/marketplace/the-grandview-poughkeepsie-ny-875197","wedding-reception-venues","New York, NY"
"VESPER","300+","n/a","N/A","N/A","N/A","+1(347) 232-8889","info@vesperevents.com","http://vesper.events?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","N/A","http://www.instagram.com/vesper_events","http://www.pinterest.com/VESPER","https://www.theknot.com/marketplace/vesper-brooklyn-ny-2088166","wedding-reception-venues","New York, NY"
"Museum of the City of New York","Up to 200","n/a","N/A","N/A","N/A","+1(917) 492-3402","events@mcny.org","http://mcny.org/yourevent?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","N/A","http://www.instagram.com/mcny.events","N/A","https://www.theknot.com/marketplace/museum-of-the-city-of-new-york-new-york-ny-561860","wedding-reception-venues","New York, NY"
"Sunset Terrace at Chelsea Piers","Up to 150","n/a","N/A","N/A","N/A","+1(212) 336-6777","eventsales@chelseapiers.com","https://events.chelseapiers.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/pages/Sunset-Terrace-At-Chelsea-Piers/125870754132418","http://www.instagram.com/sunsetterracenyc","http://www.pinterest.com/sunsetterraceny","https://www.theknot.com/marketplace/sunset-terrace-at-chelsea-piers-new-york-ny-331928","wedding-reception-venues","New York, NY"
"The William Vale","Up to 250","n/a","N/A","N/A","N/A","+1(646) 333-9087","events@wvhospitality.com","http://www.thewilliamvale.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","http://www.facebook.com/thewilliamvale","http://www.instagram.com/thewilliamvale","N/A","https://www.theknot.com/marketplace/the-william-vale-brooklyn-ny-950585","wedding-reception-venues","New York, NY"
"620 Loft & Garden","Up to 150","n/a","N/A","N/A","N/A","+1(212) 593-9499","events@topoftherocknyc.com","http://www.620loftandgarden.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/rockefellercenternyc","http://www.instagram.com/620loftgarden","N/A","https://www.theknot.com/marketplace/620-loft-and-garden-new-york-ny-448256","wedding-reception-venues","New York, NY"
"The Mansion at Oyster Bay","300+","n/a","N/A","N/A","N/A","+1(516) 921-5707","jsammarco@lessings.com","https://www.lessings.com/corporate/weddings/venue/the-mansion-at-oyster-bay","https://www.facebook.com/mansionatoysterbay/","http://www.instagram.com/themansionatoysterbay","N/A","https://www.theknot.com/marketplace/the-mansion-at-oyster-bay-woodbury-ny-957265","wedding-reception-venues","New York, NY"
"The View at The Battery","Up to 300","n/a","N/A","N/A","N/A","+1(212) 809-5508,2","info@masterpiececaterers.com","http://www.masterpiececaterers.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/Masterpiece-Caterers-151488755034904/","http://www.instagram.com/masterpiececaterers","N/A","https://www.theknot.com/marketplace/the-view-at-the-battery-new-york-ny-292595","wedding-reception-venues","New York, NY"
