"heading","guestCapacity","startingPrice","address","city","state","phoneNumber","emailAddresses","websiteLink","facebookLink","instagramLink","pinterestLink","knotPageLink","category","location"
"Chandler Hill Vineyards","Up to 250","n/a","N/A","N/A","N/A","+1(636) 798-2675,121","brooke@chandlerhillvineyards.com","http://www.chandlerhillvineyards.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/?ref=tn_tnmn#!/chandlerhillvineyards","http://www.instagram.com/chandlerhillweddingsandevents","N/A","https://www.theknot.com/marketplace/chandler-hill-vineyards-defiance-mo-644016","wedding-reception-venues","Kane, IL"
"The Larimore","Up to 200","n/a","N/A","N/A","N/A","+1(314) 868-8009","weddings@larimoreweddings.com","https://larimoreweddings.com/?utm_source=The%20Knot&utm_medium=Storefront&utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/TheLarimoreWeddings","http://www.instagram.com/larimoreweddings","N/A","https://www.theknot.com/marketplace/the-larimore-saint-louis-mo-418578","wedding-reception-venues","Kane, IL"
"Hermann Hill Weddings","Up to 300","n/a","N/A","N/A","N/A","+1(573) 486-4455","weddings@hermannhill.com","https://www.hermannmoweddings.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/HermannHillWeddings/","http://www.instagram.com/@hermannhillweddings","http://www.pinterest.com/@hermannhillweddings","https://www.theknot.com/marketplace/hermann-hill-weddings-hermann-mo-625909","wedding-reception-venues","Kane, IL"
"Main Street Abbey","Up to 250","n/a","N/A","N/A","N/A","+1(618) 719-2335,1","Kim@mainstreetabbey.com, kim@mainstreetabbey.com","http://mainstreetabbey.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/mainstreetabbey/","http://www.instagram.com/mainstreetabbey","N/A","https://www.theknot.com/marketplace/main-street-abbey-columbia-il-1088150","wedding-reception-venues","Kane, IL"
"Sunflower Hill Farm","Up to 200","n/a","N/A","N/A","N/A","+1(314) 461-5131","contact@sunflowerhillfarm.com","https://www.sunflowerhillfarm.com/weddings/","https://www.facebook.com/sunflowerhillfarmMO/","http://www.instagram.com/sunflowerhillfarm/","N/A","https://www.theknot.com/marketplace/sunflower-hill-farm-augusta-mo-2001437","wedding-reception-venues","Kane, IL"
"Defiance Ridge Vineyards","300+","n/a","N/A","N/A","N/A","+1(636) 798-2288,2","hannah@defianceridge.com","http://www.defianceridgevineyards.com","https://www.facebook.com/defianceridge/","http://www.instagram.com/defianceridge/","N/A","https://www.theknot.com/marketplace/defiance-ridge-vineyards-defiance-mo-404528","wedding-reception-venues","Kane, IL"
"Villa Antonio Winery","300+","n/a","N/A","N/A","N/A","+1(636) 524-1432","Brooke@villaantoniowinery.com","http://www.villaantoniowinery.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/pages/villa-antonio-winery/55008067812","http://www.instagram.com/villaantoniowinery","http://www.pinterest.com/VillaWinery1","https://www.theknot.com/marketplace/villa-antonio-winery-hillsboro-mo-264063","wedding-reception-venues","Kane, IL"
"DoubleTree by Hilton Hotel St. Louis - Chesterfield","300+","n/a","N/A","N/A","N/A","+1(636) 532-5000","bwinter@doubletreechesterfield.com","https://www.hilton.com/en/hotels/stlscdt-doubletree-st-louis-chesterfield/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","N/A","N/A","N/A","https://www.theknot.com/marketplace/doubletree-by-hilton-hotel-st-louis-chesterfield-chesterfield-mo-876776","wedding-reception-venues","Kane, IL"
"Cedar Creek","300+","n/a","N/A","N/A","N/A","+1(573) 237-3672","ellen@cedarcreekcenter.com, lindsey@cedarcreekcenter.com, nellen@cedarcreekcenter.com","http://cedarcreekcenter.com/destination-weddings/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/visitcedarcreek","http://www.instagram.com/https://www.instagram.com/visitcedarcreek/","N/A","https://www.theknot.com/marketplace/cedar-creek-new-haven-mo-614810","wedding-reception-venues","Kane, IL"
"Big Cedar","300+","n/a","N/A","N/A","N/A","+1(417) 339-5220","weddings@big-cedar.com, joy@cogburn.com, LadyJane331@HOTMAIL.COM","http://www.bigcedar.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","http://www.facebook.com/bigcedarlodge","http://www.instagram.com/bigcedarlodge","N/A","https://www.theknot.com/marketplace/big-cedar-ridgedale-mo-434338","wedding-reception-venues","Kane, IL"
"The McPherson Wedding Venue","Up to 250","n/a","N/A","N/A","N/A","+1(314) 713-9922","info@cwevenue.com","http://www.cwevenue.com","http://www.facebook.com/cwevenue","N/A","N/A","https://www.theknot.com/marketplace/the-mcpherson-wedding-venue-st-louis-mo-1037511","wedding-reception-venues","Kane, IL"
"Grand Ballroom STL","Up to 300","n/a","N/A","N/A","N/A","+1(314) 638-6660","smorlando@orlandogardens.com","https://orlandogardens.com/grand-ballroom-stl?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","N/A","N/A","N/A","https://www.theknot.com/marketplace/grand-ballroom-stl-saint-louis-mo-2051378","wedding-reception-venues","Kane, IL"
"Piazza Messina","Up to 300","n/a","N/A","N/A","N/A","+1(636) 232-0109","sales@piazzamessina.com","https://piazzamessina.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/weddingsatpiazzamessina/","http://www.instagram.com/www.instagram.com/weddingsatpiazzamessina/","http://www.pinterest.com/https://www.pinterest.com/russoscatering/","https://www.theknot.com/marketplace/piazza-messina-cottleville-mo-1086165","wedding-reception-venues","Kane, IL"
"The Solarium at the Ritz-Carlton, St. Louis","Up to 150","n/a","N/A","N/A","N/A","+1(314) 719-1413","rc-stlouisleads@ritzcarlton.com","https://www.ritzcarlton.com/en/hotels/st-louis/weddings?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/TheRitzCarltonStLouis","http://www.instagram.com/ritzcarltonstlouis","N/A","https://www.theknot.com/marketplace/the-solarium-at-the-ritzcarlton-st-louis-saint-louis-mo-2047274","wedding-reception-venues","Kane, IL"
"Andre's at Fox Run","Up to 250","n/a","N/A","N/A","N/A","+1(636) 253-0867","Adewitt@andresbanquet.com","https://www.facebook.com/Andres-Banquets-Catering-272232362888897/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/pages/Andres-Banquets-Catering/272232362888897","N/A","N/A","https://www.theknot.com/marketplace/andres-at-fox-run-eureka-mo-520128","wedding-reception-venues","Kane, IL"
"Willow","Up to 250","n/a","N/A","N/A","N/A","+1(314) 899-0430,1","events@baileysrestaurants.com","https://eventsatbaileys.com/willow?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/willowstl/","http://www.instagram.com/WillowStl","N/A","https://www.theknot.com/marketplace/willow-st-louis-mo-1028058","wedding-reception-venues","Kane, IL"
"Olive + Oak","Up to 200","n/a","N/A","N/A","N/A","+1(314) 736-1370,2","location11683@knotleads.tripleseat.com","https://www.oliveandoakstl.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/oliveandoakstl","http://www.instagram.com/oando_events","N/A","https://www.theknot.com/marketplace/olive-+-oak-saint-louis-mo-2043455","wedding-reception-venues","Kane, IL"
"Marriott St. Louis Grand","300+","n/a","N/A","N/A","N/A","+1(314) 418-5820","st.louisgrandleads.rhi@marriott.com","http://www.marriott.com/hotels/travel/stlmg-marriott-st-louis-grand/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/marriottstlouisgrandhotel/","http://www.instagram.com/https://www.instagram.com/marriottstlouis/","N/A","https://www.theknot.com/marketplace/marriott-st-louis-grand-st-louis-mo-551256","wedding-reception-venues","Kane, IL"
"Cheshire","Up to 200","n/a","N/A","N/A","N/A","+1(314) 932-7853","jwinter@cheshirerestaurant-stl.com","http://www.cheshirestl.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/thecheshirestl/","http://www.instagram.com/EventsAtTheCheshireSTL","N/A","https://www.theknot.com/marketplace/cheshire-st-louis-mo-984087","wedding-reception-venues","Kane, IL"
"Foundry Art Centre","300+","n/a","N/A","N/A","N/A","+1(636) 255-6178","events@foundryartcentre.org","http://foundryartcentre.org/weddings?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/#!/foundryartcentre","http://www.instagram.com/foundryartcentre/","http://www.pinterest.com/foundryart","https://www.theknot.com/marketplace/foundry-art-centre-st-charles-mo-357898","wedding-reception-venues","Kane, IL"
"Anheuser-Busch Biergarten - St Louis, Missouri","Up to 300","n/a","N/A","N/A","N/A","+1(314) 765-3260","biergartenstlevents@anheuser-busch.com","http://www.budweisertours.com/stlbiergarten?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/HomeOfBud","http://www.instagram.com/HomeOfBud","N/A","https://www.theknot.com/marketplace/anheuserbusch-biergarten-st-louis-missouri-st-louis-mo-2027279","wedding-reception-venues","Kane, IL"
"The Venue at Maison du Lac","Up to 300","n/a","N/A","N/A","N/A","+1(636) 891-5455","thevenuemdl@gmail.com","https://www.thevenuestl.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/TheVenueAtMaisonDuLac","http://www.instagram.com/thevenueatmdl","N/A","https://www.theknot.com/marketplace/the-venue-at-maison-du-lac-catawissa-mo-360667","wedding-reception-venues","Kane, IL"
"Barnett on Washington","Up to 200","n/a","N/A","N/A","N/A","+1(844) 462-2763","Events@barnettonwashington.com","http://barnettonwashington.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/barnettonwashington/","http://www.instagram.com/Barnettonwashington","N/A","https://www.theknot.com/marketplace/barnett-on-washington-st-louis-mo-427706","wedding-reception-venues","Kane, IL"
"The Franklin of Soulard","Up to 300","n/a","N/A","N/A","N/A","+1(314) 585-6323","events@thefranklinofsoulard.com","http://www.thefranklinofsoulard.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/thefranklinofsoulard/","http://www.instagram.com/thefranklinofsoulard","N/A","https://www.theknot.com/marketplace/the-franklin-of-soulard-saint-louis-mo-2046025","wedding-reception-venues","Kane, IL"
"The Noble","Up to 200","n/a","N/A","N/A","N/A","+1","hannah@thenoblestl.com","http://www.thenoblestl.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/thenoblestl/","http://www.instagram.com/thenoblestl","N/A","https://www.theknot.com/marketplace/the-noble-saint-louis-mo-365092","wedding-reception-venues","Kane, IL"
"Old Hickory Golf Club","300+","n/a","N/A","N/A","N/A","+1(636) 477-8960","jchampion@heritagegolfgroup.com","http://www.oldhickorygc.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/oldhickorygc","http://www.instagram.com/https://www.instagram.com/ohgcweddings/","N/A","https://www.theknot.com/marketplace/old-hickory-golf-club-st-peters-mo-264740","wedding-reception-venues","Kane, IL"
"Whitmoor Country Club","300+","n/a","N/A","N/A","N/A","+1(636) 926-0185,143","catering@whitmoorcc.com","https://whitmoorccevents.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/whitmoorccweddingsandevents","http://www.instagram.com/whitmoorcc_weddingsandevents","N/A","https://www.theknot.com/marketplace/whitmoor-country-club-saint-charles-mo-557195","wedding-reception-venues","Kane, IL"
"Forest Park Golf Course","Up to 250","n/a","N/A","N/A","N/A","+1(314) 655-1319","171sales@arcisgolf.com, maegenmb@yahoo.com","https://www.forestparkgc.com/private-events/weddings?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/ForestParkGolfCourse/","http://www.instagram.com/forestparkgolfcourse/","http://www.pinterest.com/https://www.pinterest.com/forestparkgolfcourse/pins/","https://www.theknot.com/marketplace/forest-park-golf-course-st-louis-mo-2003886","wedding-reception-venues","Kane, IL"
"Ameristar Casino - Resort – Spa","300+","n/a","N/A","N/A","N/A","+1(636) 940-3707","samanthagaulden@boydgaming.com","http://www.ameristar.com/st-charles?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/ameristar.casino.sc/","http://www.instagram.com/ameristarsc","N/A","https://www.theknot.com/marketplace/ameristar-casino-resort-spa-saint-charles-mo-2016084","wedding-reception-venues","Kane, IL"
