"heading","guestCapacity","startingPrice","address","city","state","phoneNumber","emailAddresses","websiteLink","facebookLink","instagramLink","pinterestLink","knotPageLink","category","location"
"HollyHedge Estate","Up to 200","n/a","N/A","N/A","N/A","+1(215) 862-3136,2","events@hollyhedge.com","http://www.hollyhedge.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/hollyhedgeestate","http://www.instagram.com/hollyhedgeestate","N/A","https://www.theknot.com/marketplace/hollyhedge-estate-new-hope-pa-664913","wedding-reception-venues","Chester, PA"
"The Gardens at Applecross","300+","n/a","N/A","N/A","N/A","+1(215) 641-9919","David.McCracken@ApplecrossCC.com","https://gardensatapplecross.com/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/thegardensatapplecross/","http://www.instagram.com/thegardensatapplecross","N/A","https://www.theknot.com/marketplace/the-gardens-at-applecross-downingtown-pa-2060695","wedding-reception-venues","Chester, PA"
"The Inn at Barley Sheaf Farm","300+","n/a","N/A","N/A","N/A","+1(215) 794-5104","abbey@barleysheaf.com","http://www.barleysheaf.com/?utm_source=theknot.com&utm_medium=referral&utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/barleysheaffarm#!/barleysheaffarm","N/A","http://www.pinterest.com/https://www.pinterest.com/barleysheaffarm/","https://www.theknot.com/marketplace/the-inn-at-barley-sheaf-farm-holicong-pa-875223","wedding-reception-venues","Chester, PA"
"Penn Oaks Golf Club","Up to 300","n/a","N/A","N/A","N/A","+1(484) 842-0601","weddingandevents@pennoaksgolfclub.com","https://www.pennoaksgolfclub.com/wedding/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","http://www.facebook.com/pages/penn-oaks-golf-club/110115455688321","N/A","N/A","https://www.theknot.com/marketplace/penn-oaks-golf-club-west-chester-pa-246918","wedding-reception-venues","Chester, PA"
"Downingtown Country Club by Ron Jaworski Weddings","Up to 300","n/a","N/A","N/A","N/A","+1(610) 873-0800,614","cerraj@golfdowningtown.comRead, hughest@golfdowningtown.com, dccweddings@ronjaworski.com, ncerraj@golfdowningtown.com","https://www.golfdowningtown.com/weddings/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/downingtownweddings/","http://www.instagram.com/downingtowncountryclub","http://www.pinterest.com/dccweddings@ronjaworski.com","https://www.theknot.com/marketplace/downingtown-country-club-by-ron-jaworski-weddings-downingtown-pa-444294","wedding-reception-venues","Chester, PA"
"City Cruises - Philadelphia","300+","n/a","N/A","N/A","N/A","+1(267) 489-2105","PhiladelphiaWeddingTeam@CityExperiences.com","https://www.cityexperiences.com/philadelphia/city-cruises/weddings/?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","http://www.facebook.com/#!/spiritofphiladelphia","http://www.instagram.com/spiritofphiladelphia","N/A","https://www.theknot.com/marketplace/city-cruises-philadelphia-philadelphia-pa-478673","wedding-reception-venues","Chester, PA"
"RiverCrest Weddings","300+","n/a","N/A","N/A","N/A","+1(610) 933-4700,110","theknot@rivercrestgolfclub.com","http://www.RiverCrestWeddings.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/rivercrestweddings","http://www.instagram.com/rivercrestweddings","http://www.pinterest.com/rivercrestgc","https://www.theknot.com/marketplace/rivercrest-weddings-phoenixville-pa-699475","wedding-reception-venues","Chester, PA"
"Springfield Country Club","300+","n/a","N/A","N/A","N/A","+1(610) 690-7600","DCiciretti@springfieldcountryclub.net","http://www.SpringfieldCC.net","https://www.facebook.com/springfieldcountryclub19064","http://www.instagram.com/springfieldcountryclub","http://www.pinterest.com/springfieldcc","https://www.theknot.com/marketplace/springfield-country-club-springfield-pa-969977","wedding-reception-venues","Chester, PA"
"Talamore Country Club","300+","n/a","N/A","N/A","N/A","+1(215) 641-1300","talaffairs@talamorefamily.com","http://www.talamoreweddings.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","https://www.facebook.com/talamoreweddings","http://www.instagram.com/talamoreweddings","N/A","https://www.theknot.com/marketplace/talamore-country-club-ambler-pa-610674","wedding-reception-venues","Chester, PA"
"Riverdale Manor","Up to 200","n/a","N/A","N/A","N/A","+1(717) 394-5554","info@thymeseasons.com","http://www.riverdalemanor.com?utm_source=theknot.com&utm_medium=referral&utm_campaign=theknot","http://www.facebook.com/riverdalemanorweddings","http://www.instagram.com/riverdale_manor","N/A","https://www.theknot.com/marketplace/riverdale-manor-lancaster-pa-979205","wedding-reception-venues","Chester, PA"
